task_id,total_tokens,system_tokens,user_tokens,templated_text_length,system_content_length,user_content_length,num_train_examples,num_test_examples,total_grid_cells,dataset,split
007bbfb7,1593,26,1554,2859,129,2650,5,1,459,arc-agi-1,all_training
00d62c1b,5157,26,5118,6503,129,6294,5,1,1872,arc-agi-1,all_training
017c7c7b,805,26,766,1971,129,1762,3,1,153,arc-agi-1,all_training
025d127b,1619,26,1580,2745,129,2536,2,1,496,arc-agi-1,all_training
045e512c,7625,26,7586,8899,129,8690,3,1,3087,arc-agi-1,all_training
0520fde7,649,26,610,1779,129,1570,3,1,111,arc-agi-1,all_training
05269061,1225,26,1186,2387,129,2178,3,1,343,arc-agi-1,all_training
05f2a901,2231,26,2192,3427,129,3218,3,1,762,arc-agi-1,all_training
06df4c85,9121,26,9082,10411,129,10202,3,1,3592,arc-agi-1,all_training
08ed6ac7,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
09629e4f,2963,26,2924,4223,129,4014,4,1,1089,arc-agi-1,all_training
0962bcdd,2169,26,2130,3303,129,3094,2,1,720,arc-agi-1,all_training
0a938d79,4967,26,4928,6265,129,6056,4,1,1899,arc-agi-1,all_training
0b148d64,3728,26,3689,4939,129,4730,3,1,1578,arc-agi-1,all_training
0ca9ddb6,1753,26,1714,2931,129,2722,3,1,567,arc-agi-1,all_training
0d3d703e,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
0dfd9992,7625,26,7586,8899,129,8690,3,1,3087,arc-agi-1,all_training
0e206a2e,5105,26,5066,6347,129,6138,3,1,1828,arc-agi-1,all_training
10fcaaa3,1286,26,1247,2496,129,2287,4,1,285,arc-agi-1,all_training
11852cab,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
1190e5a7,3720,26,3681,4917,129,4708,3,1,1603,arc-agi-1,all_training
137eaa0f,1489,26,1450,2651,129,2442,3,1,511,arc-agi-1,all_training
150deff5,1813,26,1774,2985,129,2776,3,1,590,arc-agi-1,all_training
178fcbfb,2089,26,2050,3277,129,3068,3,1,674,arc-agi-1,all_training
1a07d186,5679,26,5640,6919,129,6710,3,1,2078,arc-agi-1,all_training
1b2d62fb,1101,26,1062,2355,129,2146,5,1,285,arc-agi-1,all_training
1b60fb0c,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
1bfc4729,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
1c786137,3459,26,3420,4662,129,4453,3,1,1412,arc-agi-1,all_training
1caeab9d,1657,26,1618,2823,129,2614,3,1,500,arc-agi-1,all_training
1cf80156,1674,26,1635,2841,129,2632,3,1,586,arc-agi-1,all_training
1e0a9b12,833,26,794,1979,129,1770,3,1,179,arc-agi-1,all_training
1e32b0e9,5161,26,5122,6403,129,6194,3,1,2023,arc-agi-1,all_training
1f0c79e5,2123,26,2084,3363,129,3154,4,1,729,arc-agi-1,all_training
1f642eb9,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
1f85a75f,5945,26,5906,7109,129,6900,2,1,2724,arc-agi-1,all_training
1f876c06,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
1fad071e,1113,26,1074,2259,129,2050,3,1,339,arc-agi-1,all_training
2013d3e2,1056,26,1017,2157,129,1948,2,1,318,arc-agi-1,all_training
2204b7a8,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
22168020,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
22233c11,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
2281f1f4,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
228f6490,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
22eb0ac0,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
234bbc79,1011,26,972,2191,129,1982,4,1,258,arc-agi-1,all_training
23581191,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
239be575,1210,26,1171,2565,129,2356,6,2,324,arc-agi-1,all_training
23b5c85d,3528,26,3489,4827,129,4618,5,1,1476,arc-agi-1,all_training
253bf280,3721,26,3682,5201,129,4992,8,1,1356,arc-agi-1,all_training
25d487eb,3107,26,3068,4319,129,4110,3,1,1124,arc-agi-1,all_training
25d8a9c8,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
25ff71a9,696,26,657,1941,129,1732,4,2,90,arc-agi-1,all_training
264363fd,15041,26,15002,16387,129,16178,3,1,6300,arc-agi-1,all_training
272f95fa,3523,26,3484,4679,129,4470,2,1,1275,arc-agi-1,all_training
27a28665,799,26,760,2239,129,2030,7,3,97,arc-agi-1,all_training
28bf18c6,1085,26,1046,2235,129,2026,3,1,310,arc-agi-1,all_training
28e73c20,4269,26,4230,5603,129,5394,5,1,1512,arc-agi-1,all_training
29623171,2425,26,2386,3619,129,3410,3,1,847,arc-agi-1,all_training
29c11459,1053,26,1014,2145,129,1936,2,1,275,arc-agi-1,all_training
29ec7d0e,7093,26,7054,8423,129,8214,4,1,2916,arc-agi-1,all_training
2bcee788,2533,26,2494,3783,129,3574,4,1,900,arc-agi-1,all_training
2bee17df,2833,26,2794,4035,129,3826,3,1,972,arc-agi-1,all_training
2c608aff,4751,26,4712,6033,129,5824,4,1,1695,arc-agi-1,all_training
2dc579da,1317,26,1278,2475,129,2266,3,1,402,arc-agi-1,all_training
2dd70a9a,4093,26,4054,5315,129,5106,3,1,1619,arc-agi-1,all_training
2dee498d,847,26,808,1981,129,1772,3,1,191,arc-agi-1,all_training
31aa019c,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
321b1fc6,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
32597951,5161,26,5122,6403,129,6194,3,1,2023,arc-agi-1,all_training
3345333e,3537,26,3498,4695,129,4486,2,1,1280,arc-agi-1,all_training
3428a4f5,1704,26,1665,3027,129,2818,4,2,510,arc-agi-1,all_training
3618c87e,825,26,786,1971,129,1762,3,1,175,arc-agi-1,all_training
3631a71a,18733,26,18694,20183,129,19974,4,1,8100,arc-agi-1,all_training
363442ee,2337,26,2298,3515,129,3306,3,1,819,arc-agi-1,all_training
36d67576,3375,26,3336,4587,129,4378,3,1,1224,arc-agi-1,all_training
36fdfd69,4777,26,4738,6011,129,5802,3,1,1818,arc-agi-1,all_training
3906de3d,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
39a8645d,2101,26,2062,3275,129,3066,3,1,811,arc-agi-1,all_training
39e1d7f9,12115,26,12076,13435,129,13226,3,1,4909,arc-agi-1,all_training
3aa6fb7a,987,26,948,2091,129,1882,2,1,245,arc-agi-1,all_training
3ac3eb23,1093,26,1054,2191,129,1982,2,1,276,arc-agi-1,all_training
3af2c5a8,901,26,862,2043,129,1834,3,1,192,arc-agi-1,all_training
3bd67248,1995,26,1956,3171,129,2962,3,1,666,arc-agi-1,all_training
3bdb4ada,2899,26,2860,4015,129,3806,2,1,1020,arc-agi-1,all_training
3befdf3e,2261,26,2222,3451,129,3242,3,1,744,arc-agi-1,all_training
3c9b0459,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
3de23699,2574,26,2535,3807,129,3598,4,1,955,arc-agi-1,all_training
3e980e27,3943,26,3904,5223,129,5014,4,1,1521,arc-agi-1,all_training
3eda0437,2001,26,1962,3185,129,2976,4,1,676,arc-agi-1,all_training
3f7978a0,1730,26,1691,2905,129,2696,3,1,595,arc-agi-1,all_training
40853293,5309,26,5270,6511,129,6302,2,1,2000,arc-agi-1,all_training
4093f84a,3649,26,3610,4867,129,4658,3,1,1372,arc-agi-1,all_training
41e4d17e,3159,26,3120,4311,129,4102,2,1,1125,arc-agi-1,all_training
4258a5f9,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
4290ef0e,3641,26,3602,4851,129,4642,3,1,1449,arc-agi-1,all_training
42a50994,4545,26,4506,5841,129,5632,4,1,1746,arc-agi-1,all_training
4347f46a,3701,26,3662,4915,129,4706,3,1,1275,arc-agi-1,all_training
444801d8,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
445eab21,1273,26,1234,2427,129,2218,3,1,412,arc-agi-1,all_training
447fd412,3963,26,3924,5187,129,4978,3,1,1365,arc-agi-1,all_training
44d8ac46,3433,26,3394,4703,129,4494,4,1,1296,arc-agi-1,all_training
44f52bb0,692,26,653,2021,129,1812,6,2,78,arc-agi-1,all_training
4522001f,933,26,894,2031,129,1822,2,1,189,arc-agi-1,all_training
4612dd53,2883,26,2844,4081,129,3872,3,1,1027,arc-agi-1,all_training
46442a0e,728,26,689,1867,129,1658,3,1,119,arc-agi-1,all_training
469497ad,3383,26,3344,4579,129,4370,3,1,825,arc-agi-1,all_training
46f33fce,4521,26,4482,5747,129,5538,3,1,1600,arc-agi-1,all_training
47c1f68c,1997,26,1958,3179,129,2970,3,1,620,arc-agi-1,all_training
484b58aa,14089,26,14050,15427,129,15218,3,1,5887,arc-agi-1,all_training
48d8fb45,1317,26,1278,2475,129,2266,3,1,427,arc-agi-1,all_training
4938f0c2,5001,26,4962,6227,129,6018,3,1,1988,arc-agi-1,all_training
496994bd,983,26,944,2105,129,1896,2,1,220,arc-agi-1,all_training
49d1d64f,625,26,586,1759,129,1550,3,1,86,arc-agi-1,all_training
4be741c5,1639,26,1600,2802,129,2593,3,1,592,arc-agi-1,all_training
4c4377d9,818,26,779,2013,129,1804,4,1,156,arc-agi-1,all_training
4c5c2cf0,3555,26,3516,4771,129,4562,3,1,1297,arc-agi-1,all_training
50846271,7537,26,7498,8863,129,8654,4,1,3046,arc-agi-1,all_training
508bd3b6,2801,26,2762,4003,129,3794,3,1,1008,arc-agi-1,all_training
50cb2852,3163,26,3124,4371,129,4162,3,1,1148,arc-agi-1,all_training
5117e062,1881,26,1842,3051,129,2842,3,1,703,arc-agi-1,all_training
5168d44c,1859,26,1820,3033,129,2824,3,1,581,arc-agi-1,all_training
539a4f51,1453,26,1414,2619,129,2410,3,1,400,arc-agi-1,all_training
53b68214,2153,26,2114,3400,129,3191,3,2,620,arc-agi-1,all_training
543a7ed5,3159,26,3120,4311,129,4102,2,1,1125,arc-agi-1,all_training
54d82841,1241,26,1202,2397,129,2188,3,1,325,arc-agi-1,all_training
54d9e175,1481,26,1442,2677,129,2468,4,1,429,arc-agi-1,all_training
5521c0d9,4121,26,4082,5347,129,5138,3,1,1575,arc-agi-1,all_training
5582e5ca,553,26,514,1683,129,1474,3,1,63,arc-agi-1,all_training
5614dbcf,933,26,894,2031,129,1822,2,1,261,arc-agi-1,all_training
56dc2b01,1701,26,1662,2891,129,2682,3,1,540,arc-agi-1,all_training
56ff96f3,2083,26,2044,3317,129,3108,4,1,716,arc-agi-1,all_training
57aa92db,7103,26,7064,8419,129,8210,4,1,2682,arc-agi-1,all_training
5ad4f10b,4785,26,4746,5991,129,5782,3,1,2137,arc-agi-1,all_training
5bd6f4ac,1373,26,1334,2583,129,2374,4,1,441,arc-agi-1,all_training
5c0a986e,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
5c2c9af4,10079,26,10040,11379,129,11170,3,1,3958,arc-agi-1,all_training
5daaa586,3494,26,3455,4705,129,4496,3,1,1376,arc-agi-1,all_training
60b61512,1383,26,1344,2499,129,2290,2,1,405,arc-agi-1,all_training
6150a2bd,483,26,444,1563,129,1354,2,1,45,arc-agi-1,all_training
623ea044,3657,26,3618,4871,129,4662,3,1,1287,arc-agi-1,all_training
62c24649,781,26,742,1923,129,1714,3,1,144,arc-agi-1,all_training
63613498,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
6430c8c4,998,26,959,2213,129,2004,4,1,244,arc-agi-1,all_training
6455b5f5,4573,26,4534,5859,129,5650,4,1,1794,arc-agi-1,all_training
662c240a,833,26,794,2043,129,1834,4,1,171,arc-agi-1,all_training
67385a82,871,26,832,2063,129,1854,4,1,183,arc-agi-1,all_training
673ef223,3775,26,3736,5041,129,4832,3,1,1356,arc-agi-1,all_training
6773b310,1793,26,1754,3013,129,2804,4,1,641,arc-agi-1,all_training
67a3c6ac,865,26,826,2011,129,1802,3,1,211,arc-agi-1,all_training
67a423a3,1489,26,1450,2655,129,2446,3,1,376,arc-agi-1,all_training
67e8384a,908,26,869,2103,129,1894,4,1,189,arc-agi-1,all_training
681b3aeb,1317,26,1278,2475,129,2266,3,1,427,arc-agi-1,all_training
6855a6e4,4121,26,4082,5347,129,5138,3,1,1575,arc-agi-1,all_training
68b16354,1025,26,986,2179,129,1970,3,1,247,arc-agi-1,all_training
694f12f3,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
6a1e5592,2229,26,2190,3351,129,3142,2,1,750,arc-agi-1,all_training
6aa20dc0,7551,26,7512,8823,129,8614,3,1,3008,arc-agi-1,all_training
6b9890af,5177,26,5138,6403,129,6194,3,1,2134,arc-agi-1,all_training
6c434453,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
6cdd2623,4755,26,4716,5971,129,5762,3,1,1818,arc-agi-1,all_training
6cf79266,6961,26,6922,8227,129,8018,3,1,2800,arc-agi-1,all_training
6d0160f0,2963,26,2924,4223,129,4014,4,1,1089,arc-agi-1,all_training
6d0aefbc,713,26,674,1893,129,1684,4,1,117,arc-agi-1,all_training
6d58a25d,6961,26,6922,8227,129,8018,3,1,2800,arc-agi-1,all_training
6d75e8bb,1937,26,1898,3121,129,2912,3,1,635,arc-agi-1,all_training
6e02f1e3,693,26,654,1923,129,1714,5,1,99,arc-agi-1,all_training
6e19193c,1629,26,1590,2751,129,2542,2,1,500,arc-agi-1,all_training
6e82a1ae,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
6ecd11f4,5064,26,5025,6281,129,6072,3,1,2264,arc-agi-1,all_training
6f8cd79b,913,26,874,2111,129,1902,4,1,184,arc-agi-1,all_training
6fa7a44f,728,26,689,1923,129,1714,4,1,117,arc-agi-1,all_training
72322fa7,4795,26,4756,6019,129,5810,3,1,1777,arc-agi-1,all_training
72ca375d,1306,26,1267,2461,129,2252,3,1,420,arc-agi-1,all_training
73251a56,7625,26,7586,8899,129,8690,3,1,3087,arc-agi-1,all_training
7447852a,1233,26,1194,2363,129,2154,3,1,333,arc-agi-1,all_training
7468f01a,2513,26,2474,3693,129,3484,3,1,967,arc-agi-1,all_training
746b3537,723,26,684,1953,129,1744,5,1,118,arc-agi-1,all_training
74dd1130,623,26,584,1803,129,1594,4,1,81,arc-agi-1,all_training
75b8110e,1473,26,1434,2739,129,2530,5,1,464,arc-agi-1,all_training
760b3cac,1297,26,1258,2451,129,2242,3,1,378,arc-agi-1,all_training
776ffc46,8633,26,8594,9983,129,9774,4,1,3600,arc-agi-1,all_training
77fdfe62,1107,26,1068,2261,129,2052,3,1,300,arc-agi-1,all_training
780d0b14,4199,26,4160,5399,129,5190,3,1,1847,arc-agi-1,all_training
7837ac64,8631,26,8592,9937,129,9728,4,1,4017,arc-agi-1,all_training
794b24be,1118,26,1079,2663,129,2454,10,2,198,arc-agi-1,all_training
7b6016b9,9115,26,9076,10403,129,10194,3,1,3716,arc-agi-1,all_training
7b7f7511,678,26,639,1819,129,1610,3,1,117,arc-agi-1,all_training
7c008303,1381,26,1342,2547,129,2338,3,1,432,arc-agi-1,all_training
7ddcd7ec,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
7df24a62,11243,26,11204,12623,129,12414,4,1,4761,arc-agi-1,all_training
7e0986d6,2821,26,2782,3959,129,3750,2,1,984,arc-agi-1,all_training
7f4411dc,2919,26,2880,4119,129,3910,3,1,1114,arc-agi-1,all_training
7fe24cdd,781,26,742,1923,129,1714,3,1,144,arc-agi-1,all_training
80af3007,3516,26,3477,4723,129,4514,3,1,1430,arc-agi-1,all_training
810b9b61,3199,26,3160,4407,129,4198,3,1,1206,arc-agi-1,all_training
82819916,2303,26,2264,3557,129,3348,4,1,748,arc-agi-1,all_training
83302e8f,10627,26,10588,11931,129,11722,3,1,4285,arc-agi-1,all_training
834ec97d,1483,26,1444,2647,129,2438,3,1,374,arc-agi-1,all_training
8403a5d5,2081,26,2042,3267,129,3058,3,1,700,arc-agi-1,all_training
