task_id,task_difficulty,avg_program_length,max_program_length,num_programs,min_program_length,length_ratio
007bbfb7,57.78,904.57,3605,180,304,2.975559210526316
00d62c1b,37.15,1081.6,2426,240,810,1.3353086419753086
017c7c7b,68.45,644.91,2135,229,427,1.5103278688524588
025d127b,58.82,1265.18,4070,51,719,1.7596383866481224
045e512c,26.04,6215.75,9578,24,6443,0.9647291634331833
0520fde7,46.52,466.16,1820,237,220,2.118909090909091
05269061,61.86,705.92,1734,215,466,1.5148497854077252
05f2a901,51.91,1593.59,4161,223,1450,1.0990275862068966
06df4c85,38.56,2130.1,5604,188,1325,1.607622641509434
08ed6ac7,67.31,853.85,3328,104,297,2.874915824915825
09629e4f,33.33,2038.93,4319,15,1794,1.1365273132664437
0962bcdd,54.63,1258.72,3419,216,969,1.2989886480908153
0a938d79,38.95,990.48,2487,210,1118,0.8859391771019678
0b148d64,73.5,1226.34,3095,250,547,2.2419378427787935
0ca9ddb6,52.8,1228.28,2452,250,505,2.432237623762376
0d3d703e,84.0,362.1,505,250,154,2.3512987012987017
0dfd9992,36.04,1309.13,4568,154,1002,1.3065169660678644
0e206a2e,38.64,5285.55,16218,11,2564,2.061446957878315
10fcaaa3,44.15,1060.33,3372,212,842,1.2592992874109263
11852cab,38.34,932.47,5386,208,1137,0.8201143359718558
1190e5a7,76.3,834.19,2355,250,455,1.8333846153846156
137eaa0f,43.78,1455.31,8244,205,843,1.7263463819691578
150deff5,31.71,1238.27,2580,175,1369,0.9045069393718043
178fcbfb,54.55,915.32,1886,154,398,2.2997989949748745
1a07d186,63.92,1913.03,4878,79,1261,1.5170737509912768
1b2d62fb,54.01,1284.32,3536,216,224,5.7335714285714285
1b60fb0c,48.7,1145.73,2470,96,809,1.416229913473424
1bfc4729,91.82,1124.0,2551,53,700,1.6057142857142856
1c786137,44.02,841.03,2908,234,911,0.9231942919868277
1caeab9d,47.86,1393.93,4911,210,843,1.653534994068802
1cf80156,73.0,1177.94,3391,250,277,4.252490974729242
1e0a9b12,55.12,665.04,1623,166,245,2.7144489795918365
1e32b0e9,71.43,1230.49,2420,49,502,2.451175298804781
1f0c79e5,37.8,1667.88,3562,200,2401,0.6946605581007914
1f642eb9,49.0,1186.66,3512,250,544,2.1813602941176473
1f85a75f,73.33,1398.52,2329,250,589,2.374397283531409
1f876c06,64.09,1100.38,2230,110,577,1.9070710571923746
1fad071e,57.73,572.25,2647,249,194,2.9497422680412373
2013d3e2,57.56,796.76,2439,194,280,2.8455714285714286
2204b7a8,61.6,946.38,2301,250,461,2.052885032537961
22168020,59.5,848.75,2369,250,359,2.364206128133705
22233c11,34.38,1616.25,4786,208,1921,0.8413586673607496
2281f1f4,55.4,607.8,1113,125,319,1.9053291536050154
228f6490,61.69,2691.55,6532,62,1052,2.5585076045627377
22eb0ac0,48.42,676.22,3392,222,144,4.695972222222222
234bbc79,29.05,2130.2,4633,148,1512,1.4088624338624338
23581191,70.21,895.79,1779,94,571,1.5688091068301224
239be575,63.37,715.17,3535,215,629,1.1369952305246422
23b5c85d,74.53,1278.55,3207,250,532,2.4032894736842105
253bf280,59.51,1029.27,2668,250,577,1.7838301559792027
25d487eb,76.19,931.15,4435,210,1394,0.6679698708751793
25d8a9c8,68.64,708.83,2019,250,196,3.6164795918367347
25ff71a9,60.93,507.72,1595,250,53,9.579622641509435
264363fd,27.78,6704.44,14311,9,6871,0.9757589870470091
272f95fa,54.72,1524.89,2706,53,1285,1.1866848249027238
27a28665,71.43,676.24,1940,230,241,2.80597510373444
28bf18c6,66.1,1074.04,2762,146,356,3.0169662921348315
28e73c20,46.55,1110.03,3558,29,830,1.3373855421686747
29623171,52.39,1523.41,3693,199,1011,1.5068348170128587
29c11459,68.9,738.8,2409,179,205,3.60390243902439
29ec7d0e,40.0,969.53,2448,216,241,4.022946058091287
2bcee788,61.66,1895.15,5005,205,1779,1.0652894884766724
2bee17df,53.91,1285.47,3249,32,587,2.1898977853492334
2c608aff,58.86,1950.52,6446,210,1704,1.1446713615023474
2dc579da,78.07,967.45,2991,228,619,1.562924071082391
2dd70a9a,53.8,2381.0,6277,46,2511,0.9482277976901633
2dee498d,51.9,424.04,1918,250,79,5.367594936708861
31aa019c,36.16,963.96,2271,224,478,2.016652719665272
321b1fc6,45.17,1998.25,4569,214,689,2.9002177068214805
32597951,52.83,1140.11,2780,221,444,2.567815315315315
3345333e,50.0,1966.46,4200,48,1253,1.5694014365522746
3428a4f5,81.48,911.38,2120,63,390,2.336871794871795
3618c87e,60.16,504.52,1449,128,202,2.4976237623762376
3631a71a,35.47,1000.97,6786,203,782,1.2800127877237852
363442ee,64.1,870.36,2478,78,487,1.7871868583162218
36d67576,28.57,3163.29,4890,7,2935,1.0777819420783645
36fdfd69,47.57,1350.82,2353,72,798,1.6927568922305765
3906de3d,67.59,731.51,2244,108,335,2.1836119402985075
39a8645d,58.92,1290.04,3235,227,667,1.9340929535232383
39e1d7f9,36.36,4778.55,13247,11,5069,0.9427007299270074
3aa6fb7a,64.27,1113.41,2430,125,531,2.0968173258003766
3ac3eb23,73.12,917.56,1934,248,443,2.071241534988713
3af2c5a8,52.69,673.76,1991,167,128,5.26375
3bd67248,54.05,636.14,3012,247,195,3.26225641025641
3bdb4ada,52.4,739.68,2055,250,372,1.9883870967741935
3befdf3e,27.45,1946.86,4657,204,2587,0.7525550831078469
3c9b0459,52.4,516.42,1595,250,78,6.6207692307692305
3de23699,82.3,1579.38,2284,226,583,2.7090566037735853
3e980e27,31.69,2641.68,6517,65,2330,1.1337682403433476
3eda0437,64.52,1667.08,2996,221,953,1.7492969569779642
3f7978a0,63.88,1129.84,3486,209,726,1.5562534435261708
40853293,66.17,1332.05,4397,133,611,2.180114566284779
4093f84a,37.5,1456.07,4063,108,1299,1.1209160892994612
41e4d17e,75.5,1458.72,2502,83,954,1.5290566037735849
4258a5f9,88.36,644.02,1834,63,287,2.24397212543554
4290ef0e,54.5,3015.06,11356,200,1559,1.9339704939063502
42a50994,68.8,948.9,5422,100,466,2.036266094420601
4347f46a,54.7,1267.67,3503,202,428,2.9618457943925236
444801d8,44.68,1456.84,2913,216,1067,1.365360824742268
445eab21,66.8,833.74,2745,250,208,4.008365384615384
447fd412,30.71,2278.26,10273,70,3164,0.7200568900126423
44d8ac46,29.9,1093.83,6124,210,947,1.1550475184794087
44f52bb0,72.9,565.56,2182,250,195,2.900307692307692
4522001f,40.19,914.17,2559,209,997,0.9169207622868606
4612dd53,31.25,1368.49,3531,68,1372,0.9974416909620991
46442a0e,60.34,903.39,2381,237,303,2.9814851485148512
469497ad,35.5,1931.91,7206,181,1483,1.3027039784221175
46f33fce,74.21,829.65,3010,95,377,2.2006631299734747
47c1f68c,72.43,1015.25,2555,68,470,2.1601063829787233
484b58aa,33.06,1143.75,2797,183,632,1.8097310126582278
48d8fb45,54.98,1558.93,6301,226,1252,1.2451517571884985
4938f0c2,28.85,933.84,3274,208,1084,0.8614760147601477
496994bd,65.23,780.97,2232,139,115,6.79104347826087
49d1d64f,59.44,779.76,1566,98,276,2.825217391304348
4be741c5,55.8,648.56,2789,250,295,2.198508474576271
4c4377d9,54.59,460.25,1807,133,69,6.670289855072464
4c5c2cf0,66.67,2513.48,5600,21,1321,1.9027100681302045
50846271,20.0,1235.88,1885,26,741,1.667854251012146
508bd3b6,38.48,1515.78,5758,102,1407,1.077313432835821
50cb2852,55.63,1292.07,3406,213,436,2.9634633027522934
5117e062,44.63,1367.95,3947,219,828,1.6521135265700484
5168d44c,43.75,956.99,3009,208,567,1.6878130511463845
539a4f51,44.86,1081.4,3149,141,380,2.845789473684211
53b68214,79.43,1599.86,3597,210,1244,1.2860610932475884
543a7ed5,88.38,1535.73,2494,66,958,1.6030584551148226
54d82841,78.9,726.09,1908,237,365,1.9892876712328769
54d9e175,45.28,939.09,2284,250,364,2.5799175824175826
5521c0d9,71.4,1897.58,5004,111,489,3.880531697341513
5582e5ca,61.91,524.99,1687,149,187,2.807433155080214
5614dbcf,54.8,539.9,2009,250,176,3.067613636363636
56dc2b01,57.62,1654.37,3512,210,1861,0.8889682966147232
56ff96f3,62.64,1124.83,3193,250,427,2.634262295081967
57aa92db,21.18,4254.82,11776,17,6064,0.7016523746701846
5ad4f10b,60.62,1240.92,4406,200,931,1.332889366272825
5bd6f4ac,47.44,561.65,1825,250,61,9.207377049180327
5c0a986e,51.28,1637.24,3931,196,645,2.538356589147287
5c2c9af4,60.71,4771.2,15957,35,1007,4.7380337636544185
5daaa586,57.14,3046.14,4948,14,2330,1.3073562231759657
60b61512,65.17,1526.22,4276,134,675,2.261066666666667
6150a2bd,56.79,538.08,2139,189,65,8.278153846153847
623ea044,54.1,1110.88,2942,250,437,2.542059496567506
62c24649,78.48,524.01,1836,79,155,3.380709677419355
63613498,58.9,758.88,3591,205,815,0.9311411042944785
6430c8c4,47.76,972.34,3114,237,304,3.1984868421052632
6455b5f5,29.22,2799.17,48422,204,1231,2.273899268887084
662c240a,53.55,470.31,2584,220,231,2.035974025974026
67385a82,48.96,848.65,1975,250,407,2.0851351351351353
673ef223,81.25,2595.38,4640,16,1571,1.6520560152768937
6773b310,35.25,608.23,2844,223,350,1.7378
67a3c6ac,57.7,545.5,1892,250,59,9.245762711864407
67a423a3,68.42,1204.56,4432,247,714,1.6870588235294117
67e8384a,58.34,894.73,3190,205,128,6.990078125
681b3aeb,61.9,1708.24,5408,210,1124,1.5197864768683274
6855a6e4,39.61,1495.37,3444,243,783,1.9097956577266921
68b16354,69.74,497.03,2176,114,42,11.834047619047618
694f12f3,57.45,1530.04,2709,170,941,1.6259723698193411
6a1e5592,50.0,2045.0,2181,2,2181,0.9376432828977533
6aa20dc0,31.25,5334.0,7111,4,3280,1.626219512195122
6b9890af,48.65,1992.47,4588,222,1643,1.2127023737066343
6c434453,88.24,972.65,2876,34,399,2.437719298245614
6cdd2623,76.96,858.47,2114,217,819,1.0481929181929182
6cf79266,59.92,925.97,2038,184,374,2.4758556149732622
6d0160f0,80.0,1759.39,4712,23,1011,1.7402472799208706
6d0aefbc,47.04,517.43,1513,250,140,3.695928571428571
6d58a25d,27.68,2465.68,4998,28,1742,1.415430539609644
6d75e8bb,61.77,1129.25,2931,155,415,2.7210843373493976
6e02f1e3,69.89,762.97,1979,248,439,1.7379726651480638
6e19193c,50.48,1215.8,3907,208,1164,1.0445017182130585
6e82a1ae,63.55,1413.79,3732,107,760,1.86025
6ecd11f4,64.6,1618.0,3436,202,3346,0.48356246264196057
6f8cd79b,50.52,537.05,1676,230,217,2.474884792626728
6fa7a44f,80.0,264.27,951,82,49,5.393265306122449
72322fa7,46.0,2527.24,6031,25,1144,2.209125874125874
72ca375d,66.9,1448.97,3980,250,512,2.83001953125
73251a56,39.29,1289.0,1611,7,492,2.619918699186992
7447852a,42.77,826.23,2376,166,383,2.157258485639687
7468f01a,61.75,931.46,2864,151,313,2.9759105431309907
746b3537,67.07,728.79,3022,250,314,2.3209872611464966
74dd1130,56.24,439.78,1373,250,87,5.054942528735632
75b8110e,74.71,772.79,1280,29,477,1.620104821802935
760b3cac,46.58,1341.4,3064,73,821,1.633861144945189
776ffc46,32.54,1740.59,6532,209,2394,0.7270634920634921
77fdfe62,52.9,1145.64,4506,250,636,1.8013207547169814
780d0b14,79.34,1055.63,2025,242,457,2.3099124726477025
7837ac64,58.9,1554.76,4666,200,1100,1.413418181818182
794b24be,76.67,659.47,2269,245,297,2.2204377104377104
7b6016b9,63.05,1495.08,3135,203,488,3.0636885245901637
7b7f7511,61.9,488.79,1922,250,153,3.1947058823529413
