task_id,all_correct,total_programs
045e512c,0,62
0607ce86,0,64
09c534e7,0,54
14754a24,0,48
15113be4,0,46
17829a00,0,73
184a9768,0,26
1b59e163,0,35
1c0d0a4b,10,234
2037f2c7,1,38
22a4bbc2,0,268
25094a63,0,54
2697da3f,0,223
2b9ef948,0,32
2ccd9fef,0,103
2e65ae53,0,37
2f0c5170,0,47
2f767503,0,197
305b1341,0,34
320afe60,0,26
3391f8c0,0,180
34cfa167,0,42
396d80d7,1,69
3e980e27,0,60
42918530,0,43
456873bc,0,43
458e3a53,5,51
4612dd53,0,191
48634b99,0,48
4c177718,0,28
4e45f183,0,41
4ff4c9da,0,53
54db823b,0,50
551d5bf1,0,54
58e15b12,0,48
5a719d11,0,43
5ad4f10b,0,51
5b37cb25,0,34
5b692c0f,0,59
5c2c9af4,3,48
5d588b4d,8,186
62ab2642,3,167
6350f1f4,0,241
66ac4c3b,0,45
692cd3b6,0,33
6a980be1,0,43
6aa20dc0,0,50
6ffe8f07,0,52
712bf12e,0,81
73ccf9c2,0,47
7447852a,9,257
753ea09b,0,61
762cd429,0,40
7837ac64,0,48
78e78cff,1,264
7c8af763,27,235
7d1f7ee8,0,39
7d419a02,0,45
7df24a62,0,55
85b81ff1,0,44
8719f442,0,296
890034e9,0,37
8a004b2b,0,78
8a6d367c,0,29
8cb8642d,0,43
8f2ea7aa,22,253
902510d5,0,76
93c31fbe,0,51
94133066,0,51
94be5b80,0,61
97239e3d,0,62
9772c176,0,44
97a05b5b,0,75
9841fdad,1,72
984d8a3e,0,271
985ae207,0,40
9aec4887,0,72
9b2a60aa,0,33
9b5080bb,0,47
9d9215db,1,40
9def23fe,1,47
9f41bd9c,0,53
a04b2602,0,61
a096bf4d,0,48
a57f2f04,4,56
a644e277,0,72
a64e4611,0,48
a8c38be5,0,197
a934301b,2,66
ac2e8ecf,0,54
afe3afe9,0,47
b1986d4b,0,59
b20f7c8b,0,41
b775ac94,0,56
b782dc8a,44,129
b7f8a4d8,0,60
b9630600,0,49
ba1aa698,0,67
bb52a14b,0,52
bd14c3bf,0,43
bf699163,0,294
c35c1b4c,0,252
c3fa4749,0,41
c62e2108,0,39
c64f1187,0,140
c920a713,0,36
cc9053aa,0,182
ce039d91,37,285
cf133acc,0,84
cfb2ce5a,1,226
d07ae81c,0,72
d255d7a7,0,82
d6542281,0,40
d749d46f,0,237
d753a70b,0,44
d94c3b52,0,35
db118e2a,0,153
db615bd4,0,50
de493100,0,52
e5c44e8f,0,216
e681b708,0,41
e729b7be,2,36
e734a0e8,0,50
e760a62e,0,33
edcc2ff0,0,68
f0100645,0,253
f21745ec,0,41
f28a3cbb,0,268
f35d900a,2,48
f8be4b64,0,64
f8c80d96,0,267
f8cc533f,0,62
f9a67cb5,0,148
f9d67f8b,0,55
fd096ab6,0,59
fd4b2b02,0,39
ff2825db,1,330
