task_id,all_correct,all_train_correct,partial_train_correct,any_train_correct,all_test_correct,partial_test_correct,any_test_correct,none_correct,total_programs
045e512c,0,0,28,28,0,0,0,144,172
0607ce86,0,0,3,3,0,0,0,179,182
09c534e7,0,0,0,0,0,0,0,176,176
14754a24,0,0,0,0,0,0,0,121,121
15113be4,0,0,1,1,0,0,0,122,123
17829a00,0,0,0,0,0,0,0,175,175
184a9768,0,0,0,0,0,0,0,73,73
1b59e163,0,0,0,0,0,0,0,120,120
1c0d0a4b,16,16,11,27,21,0,21,296,323
2037f2c7,1,1,0,1,1,0,1,107,108
22a4bbc2,0,0,0,0,0,0,0,402,402
25094a63,0,0,0,0,0,0,0,169,169
2697da3f,1,1,0,1,1,0,1,334,335
2b9ef948,0,0,0,0,0,0,0,81,81
2ccd9fef,0,0,0,0,0,0,0,237,237
2e65ae53,0,0,0,0,0,0,0,107,107
2f0c5170,0,0,2,2,0,0,0,112,114
2f767503,0,0,2,2,0,0,0,251,253
305b1341,0,1,0,1,0,0,0,108,109
320afe60,0,0,1,1,0,4,4,75,79
3391f8c0,0,0,9,9,0,0,0,296,305
34cfa167,0,0,0,0,0,0,0,128,128
396d80d7,1,1,78,79,2,0,2,92,172
3e980e27,0,0,45,45,2,0,2,87,132
42918530,4,6,42,48,37,0,37,78,126
456873bc,0,0,0,0,0,0,0,89,89
458e3a53,18,19,3,22,18,0,18,144,166
4612dd53,0,0,9,9,3,0,3,272,282
48634b99,0,0,10,10,1,0,1,117,128
4c177718,0,0,0,0,0,0,0,58,58
4e45f183,0,0,1,1,0,0,0,97,98
4ff4c9da,0,0,94,94,0,0,0,76,170
54db823b,0,0,21,21,3,0,3,115,139
551d5bf1,1,1,0,1,1,0,1,144,145
58e15b12,0,0,0,0,0,0,0,127,127
5a719d11,0,0,0,0,0,0,0,131,131
5ad4f10b,0,1,0,1,0,0,0,137,138
5b37cb25,0,0,0,0,0,0,0,104,104
5b692c0f,0,0,1,1,0,0,0,147,148
5c2c9af4,3,3,9,12,3,0,3,118,130
5d588b4d,13,13,11,24,14,1,15,238,262
62ab2642,4,4,0,4,4,0,4,236,240
6350f1f4,0,0,175,175,0,0,0,159,334
66ac4c3b,0,0,0,0,0,0,0,120,120
692cd3b6,0,0,0,0,0,0,0,92,92
6a980be1,0,0,17,17,1,0,1,74,91
6aa20dc0,0,0,0,0,0,0,0,123,123
6ffe8f07,0,0,0,0,0,3,3,141,144
712bf12e,0,0,0,0,0,0,0,179,179
73ccf9c2,0,0,3,3,56,0,56,56,115
7447852a,11,13,165,178,39,0,39,166,344
753ea09b,0,0,0,0,0,0,0,160,160
762cd429,0,0,0,0,0,0,0,121,121
