,Program_0,Program_1,Program_2,Program_3,Program_4,Program_5,Program_6,Program_7,Program_8,Program_9,Program_10,Program_11,Program_12,Program_13,Program_14,Program_15,Program_16,Program_17,Program_18,Program_19
Program_0,-1.0,0.8116602,0.7889935,0.98661727,0.7037609,0.97237355,0.98407006,0.9678658,0.80844724,0.9832704,0.9623841,0.7501374,0.97569263,0.95818573,0.95756984,0.8992715,0.960417,0.9568787,0.9590375,0.9697882
Program_1,0.8116602,-1.0,0.9064237,0.8401363,0.8196461,0.8180944,0.8412793,0.81219125,0.9434814,0.83486086,0.8221023,0.8870677,0.86178184,0.8207001,0.82419145,0.834414,0.84145445,0.83704764,0.83302623,0.8082508
Program_2,0.7889935,0.9064237,-1.0,0.80183613,0.7386903,0.78598547,0.79507685,0.7788637,0.87001294,0.78928286,0.7770042,0.8833685,0.81318104,0.7742542,0.7798482,0.7840798,0.794414,0.788288,0.7867152,0.771243
Program_3,0.98661727,0.8401363,0.80183613,-1.0,0.70913994,0.9760636,0.9957919,0.96796536,0.8181569,0.995877,0.9753298,0.75574696,0.98730546,0.9700164,0.96864593,0.9059037,0.9739917,0.9690683,0.9713059,0.96126986
Program_4,0.7037609,0.8196461,0.7386903,0.70913994,-1.0,0.6928362,0.7188136,0.7131613,0.8950977,0.71373826,0.7017802,0.8022681,0.7409896,0.7091563,0.7145237,0.77549833,0.72104293,0.7216929,0.7191438,0.76915926
Program_5,0.97237355,0.8180944,0.78598547,0.9760636,0.6928362,-1.0,0.9733753,0.94374025,0.80107486,0.9733713,0.9517473,0.7412663,0.96627337,0.94719356,0.94738513,0.8893833,0.95024174,0.9472153,0.9468191,0.950407
Program_6,0.98407006,0.8412793,0.79507685,0.9957919,0.7188136,0.9733753,-1.0,0.9706819,0.82391566,0.9983764,0.97715634,0.75822914,0.99052477,0.97226584,0.9701046,0.911766,0.9759276,0.971062,0.973421,0.9677851
Program_7,0.9678658,0.81219125,0.7788637,0.96796536,0.7131613,0.94374025,0.9706819,-1.0,0.8143762,0.9708051,0.99149257,0.75214314,0.9644189,0.98420066,0.98286957,0.9245945,0.98954475,0.98295224,0.9844187,0.9507451
Program_8,0.80844724,0.9434814,0.87001294,0.8181569,0.8950977,0.80107486,0.82391566,0.8143762,-1.0,0.81747746,0.8038528,0.91298234,0.8444297,0.80595416,0.81088436,0.87217754,0.8232221,0.82153875,0.8172728,0.86285025
Program_9,0.9832704,0.83486086,0.78928286,0.995877,0.71373826,0.9733713,0.9983764,0.9708051,0.81747746,-1.0,0.97767806,0.7518157,0.9891994,0.97269005,0.97078586,0.9066798,0.97632414,0.9713108,0.97372496,0.9673291
Program_10,0.9623841,0.8221023,0.7770042,0.9753298,0.7017802,0.9517473,0.97715634,0.99149257,0.8038528,0.97767806,-1.0,0.7377132,0.96978325,0.9912348,0.9887057,0.92691916,0.9963754,0.99000216,0.9910137,0.9443071
Program_11,0.7501374,0.8870677,0.8833685,0.75574696,0.8022681,0.7412663,0.75822914,0.75214314,0.91298234,0.7518157,0.7377132,-1.0,0.7759071,0.73817205,0.74430716,0.7897854,0.7590806,0.75525236,0.749977,0.7801554
Program_12,0.97569263,0.86178184,0.81318104,0.98730546,0.7409896,0.96627337,0.99052477,0.9644189,0.8444297,0.9891994,0.96978325,0.7759071,-1.0,0.9786459,0.9792902,0.9045303,0.9747853,0.98002225,0.9805238,0.96085024
Program_13,0.95818573,0.8207001,0.7742542,0.9700164,0.7091563,0.94719356,0.97226584,0.98420066,0.80595416,0.97269005,0.9912348,0.73817205,0.9786459,-1.0,0.99696,0.9190174,0.9925709,0.9968631,0.9974552,0.9422546
Program_14,0.95756984,0.82419145,0.7798482,0.96864593,0.7145237,0.94738513,0.9701046,0.98286957,0.81088436,0.97078586,0.9887057,0.74430716,0.9792902,0.99696,-1.0,0.91806436,0.99054277,0.99692166,0.99691725,0.94133437
Program_15,0.8992715,0.834414,0.7840798,0.9059037,0.77549833,0.8893833,0.911766,0.9245945,0.87217754,0.9066798,0.92691916,0.7897854,0.9045303,0.9190174,0.91806436,-1.0,0.9267747,0.92258453,0.9187106,0.9252474
Program_16,0.960417,0.84145445,0.794414,0.9739917,0.72104293,0.95024174,0.9759276,0.98954475,0.8232221,0.97632414,0.9963754,0.7590806,0.9747853,0.9925709,0.99054277,0.9267747,-1.0,0.99370927,0.99379575,0.9446372
Program_17,0.9568787,0.83704764,0.788288,0.9690683,0.7216929,0.9472153,0.971062,0.98295224,0.82153875,0.9713108,0.99000216,0.75525236,0.98002225,0.9968631,0.99692166,0.92258453,0.99370927,-1.0,0.9970897,0.9431445
Program_18,0.9590375,0.83302623,0.7867152,0.9713059,0.7191438,0.9468191,0.973421,0.9844187,0.8172728,0.97372496,0.9910137,0.749977,0.9805238,0.9974552,0.99691725,0.9187106,0.99379575,0.9970897,-1.0,0.94358677
Program_19,0.9697882,0.8082508,0.771243,0.96126986,0.76915926,0.950407,0.9677851,0.9507451,0.86285025,0.9673291,0.9443071,0.7801554,0.96085024,0.9422546,0.94133437,0.9252474,0.9446372,0.9431445,0.94358677,-1.0
